"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.04.2023","38.870","38.640","39.360","38.350","513.71K","0.08%"
"10.04.2023","38.840","37.700","39.070","37.570","272.67K","2.53%"
"05.04.2023","37.880","38.570","38.660","37.740","1.06M","-1.35%"
"04.04.2023","38.400","38.290","38.800","38.040","577.09K","0.18%"
"03.04.2023","38.330","38.890","38.890","38.070","216.51K","-0.73%"
"31.03.2023","38.610","38.800","38.900","38.020","623.74K","-0.08%"
"30.03.2023","38.640","38.640","39.120","38.380","572.10K","0.18%"
"29.03.2023","38.570","38.430","38.860","38.080","1.38M","1.21%"
"28.03.2023","38.110","37.890","38.450","37.880","1.11M","0.24%"
"27.03.2023","38.020","38.440","38.780","37.840","377.04K","-0.37%"
"24.03.2023","38.160","37.840","38.290","37.840","870.69K","0.32%"
"23.03.2023","38.040","38.080","38.180","37.870","1.35M","0.05%"
"22.03.2023","38.020","38.260","38.690","37.740","1.11M","-1.30%"
"21.03.2023","38.520","38.760","39.160","37.900","2.11M","-0.13%"
"17.03.2023","38.570","37.950","39.200","37.250","6.27M","1.77%"
"16.03.2023","37.900","36.960","38.450","36.930","1.57M","2.52%"
"15.03.2023","36.970","36.670","37.720","36.300","1.22M","0.65%"
"14.03.2023","36.730","36.410","37.530","36.170","904.06K","1.05%"
"13.03.2023","36.350","35.620","37.380","35.430","2.74M","1.45%"
"10.03.2023","35.830","35.920","35.990","35.310","1.15M","-0.53%"
"09.03.2023","36.020","36.640","36.740","35.810","898.45K","-1.75%"
"08.03.2023","36.660","36.890","36.890","35.800","1.54M","1.50%"
"07.03.2023","36.120","36.110","36.570","35.600","1.41M","-0.50%"
"06.03.2023","36.300","36.290","36.790","36.140","757.87K","0.75%"
"03.03.2023","36.030","36.340","36.980","35.900","1.12M","-0.52%"
"02.03.2023","36.220","36.170","36.350","35.780","1.02M","0.58%"
"01.03.2023","36.010","35.910","36.680","35.510","1.20M","1.21%"
"28.02.2023","35.580","35.680","36.230","35.420","1.19M","-0.20%"
"27.02.2023","35.650","36.150","36.150","35.500","803.23K","-0.94%"
"24.02.2023","35.990","36.260","36.340","35.870","1.13M","-1.45%"
"23.02.2023","36.520","36.480","36.680","35.950","2.55M","0.38%"
"22.02.2023","36.380","37.830","37.830","36.130","1.60M","-3.73%"
"21.02.2023","37.790","38.100","38.160","37.580","2.08M","-0.11%"
"20.02.2023","37.830","39.210","39.210","37.580","731.08K","-2.98%"
"17.02.2023","38.990","39.240","39.240","38.250","2.47M","-0.03%"
"16.02.2023","39.000","39.000","39.230","38.690","4.24M","-0.05%"
"15.02.2023","39.020","38.820","39.200","38.480","2.40M","0.26%"
"14.02.2023","38.920","39.720","39.850","38.370","2.02M","-1.84%"
"13.02.2023","39.650","39.640","39.880","39.320","1.47M","0.53%"
"10.02.2023","39.440","40.960","40.960","39.190","973.05K","-3.64%"
"09.02.2023","40.930","41.100","41.480","40.640","1.33M","0.00%"
"08.02.2023","40.930","41.250","41.500","40.880","1.57M","-0.44%"
"07.02.2023","41.110","41.000","41.240","40.450","2.36M","0.27%"
"03.02.2023","41.000","40.800","41.110","40.680","4.23M","0.37%"
"02.02.2023","40.850","40.930","40.960","40.650","1.46M","-0.02%"
"01.02.2023","40.860","40.820","41.100","40.400","1.84M","0.05%"
"31.01.2023","40.840","40.430","40.960","40.010","1.70M","0.84%"
"30.01.2023","40.500","40.390","40.820","40.370","1.19M","-0.02%"
"27.01.2023","40.510","40.430","40.680","40.430","1.62M","0.25%"
"26.01.2023","40.410","39.920","40.500","39.750","2.49M","2.23%"
"25.01.2023","39.530","39.340","40.020","39.020","3.40M","1.10%"
"24.01.2023","39.100","39.000","39.440","38.670","2.71M","1.35%"
"23.01.2023","38.580","38.640","38.980","38.530","992.31K","0.00%"
"20.01.2023","38.580","38.890","38.890","38.290","860.08K","0.00%"
"19.01.2023","38.580","38.710","38.940","38.470","444.80K","0.29%"
"18.01.2023","38.470","38.910","38.940","38.280","2.01M","-0.41%"
"17.01.2023","38.630","38.890","38.890","38.500","1.29M","-0.31%"
"16.01.2023","38.750","39.000","39.000","38.530","154.74K","0.05%"
"13.01.2023","38.730","38.780","38.900","38.630","1.62M","0.00%"
"12.01.2023","38.730","38.950","38.980","38.650","1.86M","-0.03%"
"11.01.2023","38.740","38.630","39.220","38.590","1.38M","0.03%"
"10.01.2023","38.730","39.200","39.220","38.580","859.51K","-0.87%"
"09.01.2023","39.070","38.430","39.570","38.430","1.02M","2.06%"
"06.01.2023","38.280","38.150","38.960","38.010","865.48K","0.68%"
"05.01.2023","38.020","38.300","38.630","37.700","698.13K","-0.16%"
